,date,hour,exercise,Serie 1,Serie 2,Serie 3,Serie 4,Serie 5,Serie 6,Serie 7,Serie 8,Datetime
0,2023-12-13,7:26 p. m.,Bench press,"{'weight': '0 lb', 'reps': '20'}","{'weight': '10 lb', 'reps': '15'}","{'weight': '15 lb', 'reps': '16'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '25 lb', 'reps': '15'}","{'weight': '30 lb', 'reps': '12'}","{'weight': '30 lb', 'reps': '13'}","{'weight': '30 lb', 'reps': '16'}",2023-12-13
1,2023-12-13,7:46 p. m.,Bench press ,"{'weight': '15 lb', 'reps': '20'}","{'weight': '20 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '15'}",,,,,,2023-12-13
2,2023-12-13,8:01 p. m.,Bench press inclinado,"{'weight': '10 lb', 'reps': '15'}","{'weight': '20 lb', 'reps': '10'}","{'weight': '20 lb', 'reps': '9'}","{'weight': '20 lb', 'reps': '8'}",,,,,2023-12-13
3,2023-12-13,8:12 p. m.,Butterfly,"{'weight': '2 barra', 'reps': '21'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '12'}","{'weight': '4 barra', 'reps': '10'}",,,,,2023-12-13
4,2023-12-13,8:22 p. m.,Tricep pushdowns,"{'weight': '2 barra', 'reps': '15'}","{'weight': '3 barra', 'reps': '13'}","{'weight': '3 barra', 'reps': '12'}","{'weight': '3 barra', 'reps': '12'}",,,,,2023-12-13
5,2023-12-13,8:30 p. m.,Overhead dumbell extension,"{'weight': '25 lb', 'reps': '11'}","{'weight': '25 lb', 'reps': '12'}","{'weight': '25 lb', 'reps': '11'}",,,,,,2023-12-13
6,2023-12-13,8:39 p. m.,Overhead rope extension,"{'weight': '2 barras', 'reps': '11'}","{'weight': '3 barras', 'reps': '12'}","{'weight': '3 barras', 'reps': '10'}","{'weight': '3 barras', 'reps': '9'}",,,,,2023-12-13
7,2023-12-15,8:35 p. m.,Jal,"{'weight': '3 barras', 'reps': '12'}","{'weight': '4 barras', 'reps': '12'}","{'weight': '4 barras', 'reps': '10'}","{'weight': '4 barras', 'reps': '10'}",,,,,2023-12-15
8,2023-12-15,8:51 p. m.,Jal,"{'weight': '2 barra', 'reps': '12'}","{'weight': '2 barra', 'reps': '16'}","{'weight': '3 barra', 'reps': '10'}","{'weight': '3 barra', 'reps': '10'}",,,,,2023-12-15
9,2023-12-15,9:10 p. m.,Jalo pecho horizontal m,"{'weight': '2 barra', 'reps': '12'}","{'weight': '2 barra', 'reps': '12'}","{'weight': '2 barra', 'reps': '12'}","{'weight': '2 barra', 'reps': '10'}",,,,,2023-12-15
10,2023-12-15,9:18 p. m.,Jalo,"{'weight': '3 barra', 'reps': '15'}","{'weight': '4 barra', 'reps': '13'}","{'weight': '4 barra', 'reps': '13'}","{'weight': '4 barra', 'reps': '11'}",,,,,2023-12-15
